cligs_id,location,country,periode,link
tc0473,Sparte,Grèce,XVIIIème,
tc0236,Artanisse,Georgie,Ier,
tc0708,Mont Parnasse,Pays mythologique,Temps mythologiques,
tc0048,Troie,Turquie,Temps mythologiques,
tc0578,Palais du Roi,(pays imaginaire),Temps mythologiques,
tc0584,Île déserte,(inconu),XVIIIème,
tc0209,Persépolis,Iran,Vème avant JC,
tc0629,Trézène,Grèce,Temps mythologiques,
tc0637,Patare,Turquie,Temps mythologiques,
tc0253,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0111,Troie,Turquie,Temps mythologiques,
tc0562,Paris,France,XVIIème,
tc0346,Rennes,France,XVIIème,
tc0194,Antioche,Turquie,IVème,
tc0731,Thèbes,Grèce,Temps mythologiques,
tc0210,Madrid,Espagne,XVIIème,
tc0238,Babylone,Perse,Vème avant JC,
tc0689,Paris,France,XVIIIème,
tc0798,Cirta,Algérie,IIIème avant JC,
tc0035,Lieu féérique,Pays féérique,Temps féériques,
tc0290,Lyon,France,XVIIème,
tc0186,Mélitène,Arménie,IIIème,
tc0398,Mont Latmos,Grèce,Temps mythologiques,
tc0720,Proche de Paris,France,XVIIIème,
tc0501,Babylone,Irak,Ième,
tc0138,(Lieu inconnu),France,XVIIIème,
tc0349,Sur une île,Espagne,XVIIème,
tc0419,Paris,France,XVIIIème,
tc0352,France,France,XVIIème,
tc0121,Pantin,France,(indéterminé),
tc0024,Paris,France,XVIIIème,
tc0197,Paris,France,XVIIème,
tc0573,Thessalie,Grèce,Temps mythologiques,
tc0796,Babylone,Irak,IIIème avant JC,
tc0710,Hongrie,Hongrie,XVIIIème,
tc0671,Paris,France,XVIIème,
tc0533,Barcelone,Espagne,XVIIIème ,
tc0298,France,France,XVIIème,
tc0075,Un désert,France,XVIIIème,
tc0722,(non indiqué),(non indiqué),XVIIème,
tc0401,Ile de Circé,Lieu mythologique,Temps mythologiques,
tc0455,Forez,France,Temps féériques,
tc0318,Vaugirard,Paris,XVIIème,
tc0241,Paris,France,XVIIIème,
tc0410,Paris,France,XVIIème,
tc0287,À la campagne,France,XVIIème,
tc0545,Paris,France,XVIIIème,
tc0403,Ile d'Ithaque,Grèce,Temps mythologiques,
tc0139,Lieu féerique,Pays féérique,XVIIIème,
tc0530,(non indiqué),France,XVIIème,
tc0091,Paris,France,XVIIème,
tc0057,Lyon,France,XVIIIème,
tc0320,Paris,France,XVIIème,
tc0763,Séville,Espagne,XVIIème,
tc0199,Paris,France,XVIIème,
tc0496,Constantinople,Turquie,Ier avant JC,
tc0358,Paris,France,XVIIème,
tc0114,Sardis,Turquie,Vème avant JC,
tc0490,Altdorff,Suisse,XIVème,
tc0683,Palmyre,Syrie,IIIème,
tc0065,Paris,France,XVIIème,
tc0557,Astorgue,Espagne,XVIIème,
tc0661,Trézène,Grèce,Temps mythologiques,
tc0068,Paris,France,XVIIIème,
tc0375,Sardis,Turquie,IIIème avant JC,
tc0589,Memphis,Egypte,Temps bibliques,
tc0259,Andrésy,France,XVIIème,
tc0628,Ankara,Turquie,XVème,
tc0361,Paris,France,XVIIIème,
tc0440,Paris,France,XVIIIème,
tc0190,Cirta,Algérie,IIIème avant JC,
tc0484,Venise,Italie,XVIIIème,
tc0429,Paris,France,XVIIIème,
tc0770,Château de Givry,France,XVIème siècle,
tc0587,Jérusalem,Israël,Ier siècle,
tc0317,Paris,France,XVIIIème,
tc0408,Paris,France,XVIIème,
tc0791,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0078,Pologne,Pologne,XVIIIème,
tc0122,Paris,France,XVIIIème,
tc0536,(non indiqué),(non indiqué),(non indiqué),
tc0104,Césarée,Israël,IIIème avant JC,
tc0085,Rome,Italie,Ier,
tc0391,Bergame,Italie,XVIIIème,
tc0396,Suze,Perse,Vème avant JC,
tc0322,Campagne,France,XVIIIème,
tc0266,Sceaux,France,XVIIIème,
tc0023,Paris,France,XVIIIème,
tc0443,Corse,France,XVIIème,
tc0783,Rome,Italie,Ier avant JC,
tc0069,Paris,France,XVIIIème,
tc0329,Nanterre,France,XVIIIème,
tc0559,Paris,France,XVIIème,
tc0690,Paris,France,XVIIIème,
tc0033,Paris,France,XVIIème,
tc0679,Paris,France,XVIIIème,
tc0705,Pologne,Pologne,XIVème,
tc0593,Paris,France,XVIIIème,
tc0608,Paris,France,XVIIIème,
tc0289,Paris,France,XVIIème,
tc0112,Troie,Turquie,Temps mythologiques,
tc0686,Asnières,France,XVIIIème,
tc0572,(non indiqué),France,XVIIème,
tc0570,Paris,France,XVIIème,
tc0607,Paris,France,XVIIIème,
tc0520,France,France,XVIIIème,
tc0180,Alexandrie,Egypte,Ier avant JC,
tc0149,Paris,France,XVIIIème,
tc0178,Paris,France,XVIIème,
tc0187,Constantinople,Turquie,Vème,
tc0802,Une forêt,France,XVIIème,
tc0725,Valence,Espagne,XVIIème,
tc0451,Grenade,Espagne,(inconnue),
tc0064,Paris,France,XVIème,
tc0493,Paris,France,XVIIIème,
tc0638,Boétie,Grèce,Temps mythologiques,
tc0466,Rome,Italie,IVème,
tc0505,Cirta,Algérie,IIIème avant JC,
tc0761,Lieu mythologique,Pays mythologique,Temps mythologiques,
tc0316,Saint-Germain-en-Laye,France,XVIIIème,
tc0655,Rome,Italie,Ier,
tc0201,Apamée,Turquie,(inconnue),
tc0291,Paris,France,XVIIIème,
tc0243,France,France,XVIIIème avant JC,
tc0159,Paris,France,XVIIème,
tc0133,Paris,France,XVIIIème,
tc0062,Ile d'Ithaque,Grèce,Temps mythologiques,
tc0579,Paris,France,XVIIème,
tc0217,Madrid,Espagne,XVIIème,
tc0130,France,France,XVIIIème,
tc0377,Sicile,Italie,XVIIème,
tc0030,France,France,VIème,
tc0609,Paris,France,XVIIIème,
tc0087,Londres,Angleterre,XVIIème,
tc0181,Nicomédie,Turquie,Ier avant JC,
tc0581,Paris,France,XVIIème,
tc0781,Jérusalem,Israël,Ier siècle,
tc0074,Paris,France,XVIIIème,
tc0760,France,France,XVIIIème,
tc0017,Lieu féérique,Pays féérique,Temps féériques,
tc0081,Paris,France,XVIIème,
tc0086,Toulon,France,XVIIème,
tc0051,Danemark,Danemark,(inconnue),
tc0404,Suze,Perse,IVème avant JC,
tc0691,Lyon,France,XVIIIÈme,
tc0668,Poitou,France,XVIIème,
tc0558,Sicile,Italie,XVIIème,
tc0470,Paris,France,XVIIIème,
tc0735,(non indiqué),(non indiqué),(inconue),
tc0433,France,France,XVIIIème,
tc0741,Château de Lintz,Autriche,XVIIIème,
tc0692,Amérique,Amérique,XVIIIeme,
tc0050,Rome,Italie,XVIIIème,
tc0672,Athènes,Grèce,Vème avant JC,
tc0022,Paris,France,XVIIIème,
tc0384,Babylone,Irak,VIIème avant JC,
tc0368,France,France,XVIIIème,
tc0626,À la campagne,France,XVIIIème,
tc0709,France,France,(inconnue),
tc0394,Hellespont,Turquie,Temps mythologiques,
tc0776,(non indiqué),France,XVIIIème,
tc0331,Paris,France,XVIIIème,
tc0103,Hydaspe,Inde,IIIème avant JC,
tc0560,Paris,France,XVIIème,
tc0508,Carthagène,Algérie,IIème avant JC,
tc0444,Londres,Angleterre,XVIème,
tc0450,Corinthe,Grèce,Temps mythologiques,
tc0265,Paris,France,XVIIIème,
tc0491,Malabar,Inde,XVIIIème,
tc0569,Paris,France,XVIIème,
tc0663,Basse-Normandie,France,XVIIème,
tc0145,Paris,France,XVIIIème,
tc0476,Ephèse,Grèce,(non indiqué),
tc0729,Tolède,Espagne,XVème,
tc0667,(indéterminé),France,XVIIème,
tc0613,Mont Parnasse,Grèce,Temps mythologiques,
tc0669,Charonne,France,XVIIème,
tc0310,Paris,France,XVIIème,
tc0612,Paris,France,XVIIIème,
tc0273,Paris,France,XVIIème,
tc0027,Paris,France,XVIIème,
tc0279,Paris,France,XVIIème,
tc0152,Constantinople,Turquie,XVIème,
tc0311,Barcelone,Espagne,XVIIème avant JC,
tc0215,Madrid,Espagne,XVIIème,
tc0449,Rome,Italie,Ier,
tc0284,France,France,XVIIème,
tc0004,Campagne,France,XVIIIème,
tc0682,Paris,France,XVIIIème,
tc0308,Babylone,Irak,XXIIème avant JC,
tc0042,Paris,France,XVIIIème,
tc0214,Madrid,Espagne,XVIIème,
tc0636,Phrygie,Turquie,Temps mythologiques,
tc0335,Manhaïm,Israël,Temps mythologiques,
tc0003,Troie,Turquie,Vème avant JC,
tc0400,Paris,France,XVIIIème,
tc0680,(indéterminé),France,XVIIIème,
