,idno,author-short,title-short,title-full,year-performance,genre,subgenre,subgenre-simple,structure,form,decade,location,country,periode
tc0317,tc0317,Molière,Étourdi,L'étourdi ou les contre-temps,1658,drama,Comédie,comédie,cinq actes,vers,1650s,Messine,Italie,XVIIème
tc0321,tc0321,LaHarpe,Molière,Molière a la nouvelle salle,1782,drama,Comédie,comédie,un acte,vers,1780s,Paris,France,XVIIIème
tc0322,tc0322,Marivaux,Dénouement-imprévu,Le dénouement imprévu,1724,drama,Comédie,comédie,un acte,prose,1720s,(non indiqué),(non indiqué),XVIIIème
tc0324,tc0324,Sedaine,Richard,Richard coeur de lion,1784,drama,Comédie,comédie,trois actes,mixte,1780s,Château de Lintz,Autriche,XVIIIème
tc0329,tc0329,Colle,Alfonse,Alfonse dit l'impuissant,1737,drama,Comédie,comédie,un acte,vers,1730s,Lisbonne,Portugal,(non indiqué)
tc0332,tc0332,Dancourt,Sancho-Pança,Sancho pança,1712,drama,Comédie,comédie,cinq actes,vers,1710s,Espagne,Espagne,XVIIIème
tc0341,tc0341,Marivaux,Île-raison,L'île de la raison ou les petits hommes,1727,drama,Comédie,comédie,"trois actes, un prologue",prose,1720s,Île de la Raison,Lieu fantastique,XVIIIème
tc0345,tc0345,Marivaux,Dispute,La dispute,1744,drama,Comédie,comédie,un acte,prose,1740s,(non indiqué),France,XVIIIème
tc0348,tc0348,Dancourt,Métempsycose-amours,La métempsycose des amours,1717,drama,Comédie,comédie,"trois actes, un prologue",vers,1710s,Thessalie,Grèce,TeMps mythologiques
tc0349,tc0349,Boissy,Apologie-siècle,L'apologie du siècle,1734,drama,Comédie,comédie,trois actes,vers,1730s,Paris,France,XVIIIème
tc0352,tc0352,Regnard,Distrait,Le distrait,1697,drama,Comédie,comédie,cinq actes,vers,1690s,Paris,France,XVIIème
tc0353,tc0353,Dancourt,Tuteur,Le tuteur,1695,drama,Comédie,comédie,un acte,prose,1690s,France,France,XVIIème
