,idno,author-short,title-short,title-full,year-performance,genre,subgenre,subgenre-simple,structure,form,decade,location,country,periode
tc0764,tc0764,Nadal,épouse-cantique,L'épouse du cantique,1734,drama,Divertissement spirituel,divertissement,un acte,vers,1730s,Suze,Iran,Temps bibliques
tc0153,tc0153,Ségur,Fou-amour,Le fou par amour,1791,drama,Drame,drame,un acte,vers,1790s,Paris,France,XVIIème
tc0179,tc0179,Beaunoir,Libellistes,Les libellistes,1779,drama,Drame,drame,quatre actes,prose,1770s,Vienne,Autriche,XVIIIème
tc0205,tc0205,Musset,Lorenzaccio,Lorenzaccio,N/A,drama,Drame,drame,cinq actes,prose,N/0s,Florence,Italie,XVIème
tc0282,tc0282,Beaumarchais,Mère-coupable,L'autre tartuffe ou la mère coupable,1792,drama,Drame,drame,cinq actes,prose,1790s,Paris,France,XVIIIème
tc0284,tc0284,Voltaire,Saül,Saül,1763,drama,Drame,drame,cinq actes,prose,1760s,Galagal,Israël,Temps bibliques
tc0413,tc0413,Ouzicourt,Bélisaire,Bélisaire,(inconnue),drama,Drame,drame,cinq actes,vers,(inconnue0s,Constantinople,Turquie,VIème
tc0468,tc0468,Mercier,Destruction-ligue,La destruction de la ligue,1782,drama,Drame,drame,cinq actes,prose,1780s,Paris,France,XVIème
tc0494,tc0494,Ouzicourt,Roméo-Juliette,Roméo et juliette,(inconnue),drama,Drame,drame,cinq actes,vers,(inconnue0s,Vérone,Italie,XVème
tc0637,tc0637,Mercier,Tombeaux-Vérone,Les tombeaux de vérone,(inconnue),drama,Drame,drame,cinq actes,prose,(inconnue0s,Vérone,Italie,XVIème
tc0724,tc0724,LaHarpe,Mélanie-religieuse,Mélanie ou la religieuse,1792,drama,Drame,drame,trois actes,vers,1790s,Paris,France,XVIIIème
tc0749,tc0749,Mercier,Jenneval,Jenneval,(inconnue),drama,Drame,drame,cinq actes,prose,(inconnue0s,Paris,Paris,XVIIIème
tc0835,tc0835,Mercier,Habitant-guadeloupe,L'habitant de la guadeloupe,1782,drama,Drame,drame,trois actes,prose,1780s,Paris,France,XVIIIème
tc0886,tc0886,Gouges,Esclavage-noirs,L'esclavage des noirs,1789,drama,Drame,drame,trois actes,prose,1780s,(Divers lieux),Inde,XVIIIème
tc0902,tc0902,Guilbert-Pixerécourt,Victor,Victor,1798,drama,Drame,drame,trois actes,prose,1790s,Bohême,République tchèque,XVIIIème
tc0142,tc0142,Anonyme,Adam,Adam,N/A,drama,drame liturgique,autre,un acte,vers,N/0s,Jardin d'Eden,Pays biblique,Temps bibliques
tc0432,tc0432,Dumaniant,Dragon-Thionvile,Le dragon de thionvile,1786,drama,Fait historique,autre,un acte,prose,1780s,Thionville,France,XVIIIème
tc0131,tc0131,Anonyme,Sermon-joyeux,Sermon joyeux de bien boire,N/A,drama,Farce,farce,un acte,vers,N/0s,France,France,XVIème
tc0173,tc0173,Gueullette,Caracataca,Caracataca et caracataqué,1720,drama,Farce,farce,trois actes,prose,1720s,Paris,France,XVIIIème
tc0216,tc0216,Gueullette,Chapeau-fortunatus,Le chapeau de fortunatus,1712,drama,Farce,farce,un acte,prose,1710s,Paris,France,XVIIIème
tc0271,tc0271,Anonyme,Farce-nouvelle,Farce nouvelle très bonne et fort joyeuse à trois personnages,N/A,drama,Farce,farce,un acte,vers,N/0s,France,France,XVIème
tc0280,tc0280,Molière,Jalousie-barbouillé,La jalousie du barbouillé,1650,drama,Farce,farce,un acte,prose,1650s,(non indiqué),France,XVIIème
tc0344,tc0344,Anonyme,Farce-nouvelle,Farce nouvelle très bonne et fort joyeuse de la resurrection de jenin landore,N/A,drama,Farce,farce,un acte,vers,N/0s,France,France,XVIème
tc0380,tc0380,Gueullette,Amant-poussif,L'amant poussif,1720,drama,Farce,farce,un acte,prose,1720s,Paris,France,XVIIIème
tc0465,tc0465,Gueullette,Fausses-envies,Les fausses envies,1740,drama,Farce,farce,trois actes,prose,1740s,Paris,France,XVIIIème
tc0692,tc0692,Anonyme,Farce-nouvelle,Farce nouvelle fort joyeuse du pont aux ânes,N/A,drama,Farce,farce,un acte,vers,N/0s,France,France,XVIème
tc0856,tc0856,Molière,Médecin-volant,Le médecin volant,1660,drama,Farce,farce,un acte,prose,1660s,(non indiqué),France,XVIIème
tc0894,tc0894,Gueullette,Isabelle-grosse-vertu,Isabelle grosse par vertu,1738,drama,Farce,farce,un acte,prose,1730s,Paris,France,XVIIIème
tc0029,tc0029,Pure,Déroute-précieuses,La déroute des précieuses,(non représentée),drama,Mascarade,autre,un acte,vers,(non représentée0s,Paris,France,XVIIème
tc0383,tc0383,Baptiste+DuMoutier,Mascarade,Mascarade,1685,drama,Mascarade,autre,un acte,vers,1680s,Paris,France,XVIIème
tc0099,tc0099,Hervilly,Magister,Le magister,N/A,drama,Monologue,monologue,un acte,vers,N/0s,Paris,France,XVIIème
tc0320,tc0320,Hervilly,Malade-réel,Le malade réel,N/A,drama,Monologue,monologue,un acte,vers,N/0s,Paris,France,XIXème
tc0423,tc0423,Hervilly,Soupe-lèvres,Entre la soupe et les lèvres,N/A,drama,Monologue,monologue,un acte,vers,N/0s,Paris,France,XIXème
tc0802,tc0802,Florian,Héro-Léandre,Héro et léandre,1784,drama,Monologue lyrique,monologue,un acte,prose,1780s,Hellespont,Turquie,Temps mythologiques
tc0016,tc0016,Quinault,Persée,Persée,1682,drama,Opéra,opéra,"cinq actes, un prologue",vers,1680s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0141,tc0141,CorneilleT,Médée,Médée,1693,drama,Opéra,opéra,cinq actes,vers,1690s,Corinthe,Grèce,Temps mythologiques
tc0186,tc0186,Voltaire,Pandore,Pandore,1767,drama,Opéra,opéra,cinq actes,vers,1760s,(non indiqué),Grèce,Temps mythologiques
tc0356,tc0356,Quinault,Cadmus-Hermione,Cadmus et hermione,1673,drama,Opéra,opéra,"cinq actes, un prologue",vers,1670s,Boétie,Grèce,Temps mythologiques
tc0407,tc0407,Marmontel,Hercule-mourant,Hercule mourant,1761,drama,Opéra,opéra,cinq actes,vers,1760s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0435,tc0435,LaFontaine,Galatée,Galatée,(non représentée),drama,Opéra,opéra,deux actes,vers,(non représentée0s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0461,tc0461,Quinault,Roland,Roland,1685,drama,Opéra,opéra,"cinq actes, un prologue",vers,1680s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0493,tc0493,Rousseau,Jason,Jason,1696,drama,Opéra,opéra,"cinq actes, un prologue",vers,1690s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0616,tc0616,Quinault,Isis,Isis,1677,drama,Opéra,opéra,"cinq actes, un prologue",vers,1670s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0703,tc0703,Hoffmann,Phèdre,Phèdre,1786,drama,Opéra,opéra,cinq actes,vers,1780s,Trézène,Grèce,Temps mythologiques
tc0805,tc0805,Voltaire,Samson,Samson,(non représentée),drama,Opéra,opéra,"cinq actes, un prologue",vers,(non représentée0s,Gaza,Israël,Temps bibliques
tc0822,tc0822,LaFontaine,Daphné,Daphné,(non représentée),drama,Opéra,opéra,"cinq actes, un prologue",vers,(non représentée0s,Grèce,Grèce,Temps mythologiques
tc0853,tc0853,Quinault,Armide,Armide,1686,drama,Opéra,opéra,"cinq actes, un prologue",vers,1680s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0325,tc0325,Voltaire,Baron-Otrante,Le baron d'otrante,1784,drama,Opéra Bouffe,opéra,cinq actes,vers,1780s,Otrante,Italie,XVIIIème
tc0042,tc0042,Dorneval,Reine-Barostan,La reine du barostan,1730,drama,Opéra comique,opéra-comique,un acte,mixte,1730s,Barostan,Pays imaginaire,Période imaginaire
tc0074,tc0074,Colle,Île-sonnante,L'île sonnante,1731,drama,Opéra comique,opéra-comique,trois actes,mixte,1730s,Lieu imaginaire,Pays imaginaire,(non indiqué)
tc0177,tc0177,Vadé,Impromptu-coeur,L'impromptu du coeur,1757,drama,Opéra comique,opéra-comique,un acte,mixte,1750s,Paris,France,XVIIIème
tc0293,tc0293,Voltaire,Deux-tonneaux,Les deux tonneaux,(inconnue),drama,Opéra comique,opéra-comique,cinq actes,vers,(inconnue0s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0359,tc0359,Fuzelier+Legrand,Animaux-raisonnables,Les animaux raisonnables,1718,drama,Opéra comique,opéra-comique,un acte,mixte,1710s,Ile de Circé,Lieu mythologique,Temps mythologiques
tc0462,tc0462,Vadé,Veuve-indécise,La veuve indécise,1759,drama,Opéra comique,opéra-comique,un acte,mixte,1750s,France,France,XVIIIème
tc0533,tc0533,Dorneval,Amours-Nanterre,Les amours de nanterre,1718,drama,Opéra comique,opéra-comique,un acte,mixte,1710s,Nanterre,France,XVIIIème
tc0550,tc0550,Dorneval,Opéra-comique-assiégé,L'opéra comique assiégé,1730,drama,Opéra comique,opéra-comique,un acte,mixte,1730s,Paris,France,XVIIIème
tc0601,tc0601,LeTellier,Don-Juan,Don juan ou le festin de pierre,1713,drama,Opéra comique,opéra-comique,"trois actes, un prologue",vers,1710s,Paris,France,XVIIIème
tc0772,tc0772,Fuzelier+Lesage,Tableau-mariage,Le tableau du mariage,1716,drama,Opéra comique,opéra-comique,un acte,mixte,1710s,Paris,France,XVIIIème
tc0061,tc0061,Sacy,Médisance,La médisance,N/A,drama,Opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Paris,France,XVIIIème
tc0067,tc0067,Sacy,Vive-vie,Vive la vie,N/A,drama,Opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Paris,France,XVIIIème
tc0286,tc0286,Sacy,Fat-province,Le fat de province,N/A,drama,Opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Paris,France,XVIIIème
tc0417,tc0417,Sacy,Bénéfice,Le bénéfice ou le tour de page,N/A,drama,opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Paris,France,XVIIIème
tc0448,tc0448,Sacy,Mystérieux,Le mystérieux,N/A,drama,opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,France,France,XVIIIème
tc0452,tc0452,Sacy,Nouvellistes,Les nouvellistes,N/A,drama,opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Paris,France,XVIème
tc0470,tc0470,Sacy,Harangue,La harangue,N/A,drama,Opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Banlieue de Paris,France,XVIIIème
tc0479,tc0479,Sacy,Vanité-mortifiée,La vanité mortifiée,N/A,drama,opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Paris,France,XVIIIème
tc0492,tc0492,Sacy,In-promptu,L'in-promptu,N/A,drama,opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,France,France,XVIIIème
tc0578,tc0578,Sacy,Méprise,La méprise,N/A,drama,opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Fontainebleau,France,XVIème
tc0750,tc0750,Sacy,Sympathie,La sympathie,N/A,drama,Opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Québec,Canada,XVIIIème
tc0820,tc0820,Sacy,Bavard,Le bavard,N/A,drama,Opuscule dramatique,opuscule-dramatique,un acte,prose,N/0s,Paris,France,XVIIIème
tc0013,tc0013,Audinot,Dorothée,Dorothée,1782,drama,Pantomime,autre,"trois actes, un prologue",prose,1780s,Orléans,France,XVIIIème
tc0103,tc0103,Gueullette,Chaste-Isabelle,La chaste isabelle,1720,drama,Parade,parade ,un acte,prose,1720s,France,France,XVIIIème
tc0260,tc0260,Gueullette,Léandre-hongre,Léandre hongre,1720,drama,Parade,parade ,un acte,prose,1720s,Paris,France,XVIIIème
tc0486,tc0486,Gueullette,Confiance-cocus,La confiance des cocus,1720,drama,Parade,parade ,un acte,prose,1720s,Paris,France,XVIIIème
tc0507,tc0507,Gueullette,Léandre-fiacre,Léandre fiacre,1720,drama,Parade,parade ,un acte,prose,1720s,Paris,France,XVIIIème
tc0605,tc0605,Gueullette,Marchand-merde,Le marchand de merde,1720,drama,Parade,parade ,un acte,prose,1720s,Paris,France,XVIIIème
tc0803,tc0803,Gueullette,Amant-cochemard,L'amant cochemard,(inconnue),drama,Parade,parade ,un acte,vers,(inconnue0s,Paris,France,XVIIIème
tc0110,tc0110,Biancolelli,Oedipe-travesti,Oedipe travesti,1719,drama,Parodie,parodie,un acte,vers,1710s,Le Bourget,France,XVIIème
tc0115,tc0115,Taconet,Nostradamus,Nostradamus,1756,drama,Parodie,parodie,un acte,vers,1750s,Le Mans,France,XVIIIème
tc0143,tc0143,Biancolelli+Romagnesi,Bonne-feme,La bonne feme,1726,drama,Parodie,parodie,un acte,mixte,1720s,(inconnue),France,XVIIème
tc0195,tc0195,Fuzelier,Enfer-galant,L'enfer galant,(non représentée),drama,Parodie,parodie,un acte,mixte,(non représentée0s,Mont Latmos,Grèce,Temps mythologiques
tc0232,tc0232,Dominique,Enfants-trouvés,Les enfants trouvés,1732,drama,Parodie,parodie,un acte,vers,1730s,Tripoli,Liban,XVIIème
tc0235,tc0235,Poinsinet,Fra-maçonnes,Les fra-maçonnes,1754,drama,Parodie,parodie,un acte,vers,1750s,France,France,XVIIIème
tc0275,tc0275,Taconet,Époux-chicane,Les époux par chicane,1759,drama,Parodie,parodie,un acte,mixte,1750s,Le Mans,France,XVIIIème
tc0752,tc0752,BideauDeMontigny,Sémiramis,Sémiramis,(non représentée),drama,Parodie,parodie,cinq actes,vers,(non représentée0s,Paris,France,XVIIème
tc0769,tc0769,Rousseau,Mort-bucéphale,La mort de bucéphale en un acte en vers,1748,drama,Parodie,parodie,un acte,vers,1740s,(inconnu),(inconnu),IVème av. JC
tc0891,tc0891,Goulard,Agis,Agis,N/A,drama,Parodie,parodie,un actes,vers,N/0s,Sparte,Grèce,XVIIIème
tc0200,tc0200,Quinault,Fêtes-Amour,Les fêtes de l'amour et de bacchus,1682,drama,Pastorale,pastorale,"cinq actes, un prologue",vers,1680s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0217,tc0217,Aigueberre,Pan-Doris,Pan et doris,(non représentée),drama,Pastorale,pastorale,un acte,vers,N/A,Campagne,France,XVIIIème
tc0266,tc0266,SaintPriest,Pot-au-noir,Le pot au noir et le pot aux roses ou daphnis et hortense,1789,drama,Pastorale,pastorale,un acte,mixte,1780s,Camapagne,France,XVIIème
tc0539,tc0539,CorneilleT,Berger-extravagant,Le berger extravagant,1652,drama,Pastorale,pastorale,cinq actes,vers,1650s,Brie,France,(inconnue)
tc0625,tc0625,Voisenon,Hilas-Zélis,Hilas et zélis,1762,drama,Pastorale,pastorale,un acte,vers,1760s,Gnide,Pays mythologique,Temps mythologiques
tc0711,tc0711,Boyer,Lisimène,Lisimène ou la jeune bergère,1695,drama,Pastorale,pastorale,cinq actes,vers,1690s,Arcadie,Grèce,Temps mythologiques
tc0757,tc0757,Rotrou,Cléagénor-Doristée,Cléagénor et doristée,1634,drama,Pastorale,pastorale,cinq actes,vers,1630s,(non indiqué),(inconnu),(inconnue)
tc0781,tc0781,Rotrou,Amarillis,Amarillis,1652,drama,Pastorale,pastorale,cinq actes,vers,1650s,Forez,France,(inconnue)
tc0859,tc0859,Piron,Fausse-alarme,La fausse alarme,(non représentée),drama,Pastorale,pastorale,un acte,vers,(non représentée0s,Lignon,France,Temps féériques
tc0482,tc0482,Campistron,Acis-Galatée,Acis et galatée,1686,drama,Pastorale héroïque,pastorale,"trois actes, un prologue",vers,1680s,Troie,Turquie,Temps mythologiques
tc0841,tc0841,Fontenelle,Endymion,Endymion,1731,drama,Pastorale héroïque,pastorale,cinq actes,vers,1730s,lieu mythologique,pays mythologique,Temps mythologiques
tc0847,tc0847,Urfé,Sylvanire-morte-vive,Sylvanire ou la morte vive,1617,drama,Pastorale héroïque,pastorale,"cinq actes, un prologue",vers,1610s,Lille,France,(inconnue)
tc0881,tc0881,Riccoboni+Romagnesi,Sauvages,Les sauvages,1736,drama,Piece,pièce,un acte,vers,1730s,Amérique,Amérique,XVIIIeme
tc0247,tc0247,Laujon,Léandre-Héro,Léandre et héro,1750,drama,Pièce,pièce,un acte,vers,1750s,Sestos,Grèce,Temps mythologiques
tc0326,tc0326,Riccoboni+Romagnesi,Compliments,Les compliments,1736,drama,Pièce,pièce,un acte,mixte,1730s,Paris,France,XVIIIème
tc0761,tc0761,Voltaire,Charlot,Charlot ou la comtesse de givry,1767,drama,Pièce dramatique,pièce,trois actes,vers,1760s,Château de Givry,France,XVIème
tc0651,tc0651,Gouges,Molière-Ninon,Molière chez ninon ou le siècle des grands hommes,1789,drama,Pièce épisodique,pièce,cinq actes,prose,1780s,Paris,France,XVIIème
tc0307,tc0307,Dorneval,Couplets-en-procès,Les couplets en procès,1730,drama,Prologue,prologue,un acte,mixte,1730s,Paris,France,XVIIIème
tc0456,tc0456,Dorneval,Jugement-Pâris,Le jugement de pâris,1718,drama,Prologue,prologue,un acte,mixte,1710s,Paris,France,XVIIIème
tc0475,tc0475,Colle,Espérance,L'espérance,1731,drama,Prologue,prologue,un acte,mixte,1730s,Lieu imaginaire,Pays imaginaire,(non indiqué)
tc0498,tc0498,Aigueberre,Trois-spectacles,Trois spectacles,(non représentée),drama,Prologue,prologue,un acte,prose,N/A,Campagne,France,XVIIIème
tc0615,tc0615,Lafont+Lesage,Querelle-théâtres,La querelle des théâtres,1710,drama,Prologue,prologue,un acte,vers,1710s,Paris,France,XVIIIème
tc0031,tc0031,Carmontelle,Bons,Les bons,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Paris,France,XVIIIème
tc0057,tc0057,Carmontelle,Trompeur,À trompeur,1768,drama,Proverbe,proverbe,un acte,prose,1760s,Paris,France,XVIIIème
tc0079,tc0079,Durant,Oisivité,Oisivité est mère de tous les vices,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,France,France,XVIIIème
tc0097,tc0097,Durant,Jours-se-suivent,Les jours se suivent et ne se ressemblent pas,(inconnue),drama,Proverbe,proverbe,trois actes,prose,(inconnue0s,France,France,XVIIIème
tc0145,tc0145,Carmontelle,Avocat-consultant,L'avocat consultant,1768,drama,Proverbe,proverbe,un acte,prose,1760s,France,France,XVIIIème
tc0163,tc0163,Durant,Tel-maître,Tel maître,(non représentée),drama,Proverbe,proverbe,un acte,prose,(non représentée0s,Paris,France,XVIIIème
tc0189,tc0189,Carmontelle,Condamner-entendre,Condamner sans entendre ou la statue,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Auteuil,France,XVIIIème
tc0236,tc0236,Durant,Qui-court,Qui court deux lièvres n'en prend point,(non représentée),drama,Proverbe,proverbe,un acte,prose,(non représentée0s,Paris,France,XVIIIème
tc0239,tc0239,Carmontelle,Pari,Le pari,1768,drama,Proverbe,proverbe,un acte,prose,1760s,Paris,France,XVIIIème
tc0253,tc0253,Carmontelle,Faux-empoisonnement,Le faux empoisonnement,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,France,France,XVIIIème
tc0269,tc0269,Carmontelle,Bon-chat-bon-rat,À bon chat bon rat,1768,drama,Proverbe,proverbe,un acte,prose,1760s,Paris,France,XVIIIème
tc0299,tc0299,Archambault,Janot,Janot ou les battus paient l'amende,1779,drama,Proverbe,proverbe,un acte,prose,1770s,Paris,France,XVIIIème
tc0304,tc0304,Carmontelle,Seigneur-auteur,Le seigneur auteur,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,France,France,XVIIIème
tc0318,tc0318,Carmontelle,Suisse-porte,Le suisse de porte et le portrait,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,France,France,XVIIIème
tc0338,tc0338,Durant,Bon-chat-bon-rat,À bon chat bon rat,(non représentée),drama,Proverbe,proverbe,un acte,prose,(non représentée0s,Paris,France,XVIIIème
tc0384,tc0384,Durant,Bonne-renomée,Bonne renomée vaut mieux que ceintur dorée,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Paris,France,XVIIIème
tc0397,tc0397,Sedaine,Manteau-écarlate,Le manteau écarlate ou le reve supposé,1784,drama,Proverbe,proverbe,un acte,prose,1780s,Château,France,XVIIIème
tc0436,tc0436,Durant,Connait-pas,On ne connait pas le vin au cercle,(non représentée),drama,Proverbe,proverbe,un acte,prose,(non représentée0s,Paris,France,XVIIIème
tc0451,tc0451,Carmontelle,Pleureurs-Homère,Les pleureurs d'homère,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Paris,France,XVIIIème
tc0454,tc0454,Durant,Voyage-campagne,Voyage de campagne,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Paris,France,XVIIIème
tc0471,tc0471,Carmontelle,Boudoir,Le boudoir,1768,drama,Proverbe,proverbe,un acte,prose,1760s,France,France,XVIIIème
tc0497,tc0497,Archambault,Ça-n'en-est-pas,Ça n'en est pas ou tout ce qui reluit n'est pas or,1779,drama,Proverbe,proverbe,un acte,prose,1770s,Paris,France,XVIIIème
tc0531,tc0531,Carmontelle,Auteur-avantageux,L'auteur avantageux,1768,drama,Proverbe,proverbe,un acte,prose,1760s,Paris,France,XVIIIème
tc0536,tc0536,Carmontelle,Alménorade,Alménorade,1768,drama,Proverbe,proverbe,un acte,vers,1760s,Orient,Orient,(indéterminé)
tc0565,tc0565,Durant,Laver-tête-âne,À laver la tête d'âne on y perd sa lessive,(non représentée),drama,Proverbe,proverbe,un acte,prose,(non représentée0s,Paris,France,XVIIIème
tc0596,tc0596,Carmontelle,Café-borgne,Le café borgne,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Paris,France,XVIIIème
tc0611,tc0611,Carmontelle,Petit-maître,Le petit maître par philosophie,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,(Lieu inconnu),France,XVIIIème
tc0626,tc0626,Carmontelle,Étranger,L'étranger,1780,drama,Proverbe,proverbe,un acte,prose,1780s,Paris,France,XVIIIème
tc0648,tc0648,Carmontelle,Petit-poucet,Le petit poucet,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Lieu féerique,Pays féérique,XVIIIème
tc0666,tc0666,Carmontelle,Voyageurs,Les voyageurs,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Paris,France,XVIIIème
tc0671,tc0671,Carmontelle,Chanteur-italien,Le chanteur italien,1768,drama,Proverbe,proverbe,un acte,prose,1760s,France,France,XVIIIème
tc0679,tc0679,Carmontelle,Écrivain-charniers,L'écrivain des charniers,1768,drama,Proverbe,proverbe,un acte,prose,1760s,Paris,France,XVIIIème
tc0686,tc0686,Durant,Plaisir-Douleurs,Pour un plaisir mille douleurs,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Paris,France,XVIIIème
tc0727,tc0727,Dorvigny,On-fait-ce-qu-on-peut,On fait ce qu'on peut,1779,drama,Proverbe,proverbe,un acte,prose,1770s,Paris,France,XVIIIème
tc0740,tc0740,Carmontelle,Désespérés-opéra,Les désespérés de l'opéra,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Paris,France,XVIIIème
tc0758,tc0758,Archambault,Janot-dégraisseur,Janot chez la dégraisseur,1779,drama,Proverbe,proverbe,un acte,prose,1770s,Paris,France,XVIIIème
tc0794,tc0794,Carmontelle,Veuve-avare,La veuve avare ou à trompeur trompeur et demi comédie,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Paris,France,XVIIIème
tc0816,tc0816,Anonyme,Matinée,La matinée du comédien français,(inconnu),drama,Proverbe,proverbe,un acte,prose,(inconnu0s,France,France,XVIIIème
tc0865,tc0865,Carmontelle,Lièvre,Le lièvre,(inconnue),drama,Proverbe,proverbe,un acte,prose,(inconnue0s,Province,France,(indéterminé)
tc0870,tc0870,Carmontelle,Recommandation,La recommandation,1768,drama,Proverbe,proverbe,un acte,prose,1760s,Paris,France,XVIIIème
tc0888,tc0888,Chazet+Gassicourt,Finot,Finot,1701,drama,Proverbe,proverbe,un acte,prose,1700s,Paris,France,XVIIème
tc0006,tc0006,Bièvre,Vercingentorixe,Vercingentorixe,(non représentée),drama,Tragédie,tragédie,un acte,vers,(non représentée0s,Alesia,France,Ier avant JC
tc0008,tc0008,Mareschal,Jugement-équitable,Le jugement équitable de charles le hardy dernier duc de bourgogne,N/A,drama,Tragédie,tragédie,cinq actes,vers,N/0s,Maastricht,Pays-Bas,IVème avant JC
tc0010,tc0010,Rotrou,Saint-Genest,Le véritable saint genest,1646,drama,Tragédie,tragédie,cinq actes,vers,1640s,Rome,Italie,IVème
tc0011,tc0011,Genest,Pénélope,Pénélope,1684,drama,Tragédie,tragédie,cinq actes,vers,1680s,Ile d'Ithaque,Grèce,Temps mythologiques
tc0014,tc0014,Magnon,Tamerlan,Tamerlan,1644,drama,Tragédie,tragédie,cinq actes,vers,1640s,Galatie,Turquie,Vème avant JC
tc0017,tc0017,CorneilleT,Pyrrhus,Pyrrhus,1661,drama,Tragédie,tragédie,cinq actes,vers,1660s,(non indiqué),(non indiqué),Temps mythologiques
tc0018,tc0018,DucheDeVancy,Absalon,Absalon,1712,drama,Tragédie,tragédie,cinq actes,vers,1710s,Manhaïm,Israël,Temps mythologiques
tc0022,tc0022,Boyer,Oropaste,Oropaste ou le faux tonaxare,1662,drama,Tragédie,tragédie,cinq actes,vers,1660s,Suze,Iran,VIème avant JC
tc0024,tc0024,Linant,Alzaïde,Alzaïde,1745,drama,Tragédie,tragédie,cinq actes,vers,1740s,Memphis,Egypte,XIVème avant JC
tc0030,tc0030,Aure,Dipné,Dipné,N/A,drama,Tragédie,tragédie,cinq actes,vers,N/0s,Ghelé,Belgique,XVIIème
tc0033,tc0033,CorneilleP,Héraclius,Héraclius,1646,drama,Tragédie,tragédie,cinq actes,vers,1640s,Constantinople,Turquie,VIIème
tc0035,tc0035,Viau,Pyrame-Thisbé,Pyrame et thisbé,1617,drama,Tragédie,tragédie,cinq actes,vers,1610s,Lieu mythologique,Pays mythologique,Temps mythologiques
tc0036,tc0036,LaMotte,Inès-Castro,Inès de castro,1723,drama,Tragédie,tragédie,cinq actes,vers,1720s,Lisbonne,Portugal,XIVème
tc0038,tc0038,CorneilleT,Ariane,Ariane,1672,drama,Tragédie,tragédie,cinq actes,vers,1670s,Ile de Naxos,Grèce,Temps mythologiques
tc0041,tc0041,CorneilleT,Engagements-hasard,Les engagements du hasard,1649,drama,Tragédie,tragédie,cinq actes,vers,1640s,Madrid,Espagne,(inconnue)
tc0044,tc0044,Nadal,Antiochus,Antiochus,1722,drama,Tragédie,tragédie,cinq actes,vers,1720s,Jérusalem,Israël,Temps bibliques
tc0045,tc0045,Pompignan,Didon,Didon,1734,drama,Tragédie,tragédie,cinq actes,vers,1730s,Carthage,Tunisie,VIIIème avant JC
tc0051,tc0051,Magnon,Artaxerxe,Artaxerxe,1644,drama,Tragédie,tragédie,cinq actes,vers,1640s,Pazagardes,Iran,Vème avant JC
tc0052,tc0052,CorneilleT,Timocrate,Timocrate,1656,drama,Tragédie,tragédie,cinq actes,vers,1650s,Argos,Grèce,IVème avant JC
tc0055,tc0055,CorneilleP,Mort-Pompée,La mort de pompée,1642,drama,Tragédie,tragédie,cinq actes,vers,1640s,Alexandrie,Egypte,Ier avant JC
tc0059,tc0059,Pradon,Régulus,Régulus,N/A,drama,Tragédie,tragédie,cinq actes,vers,N/0s,Carthage,Tunisie,IIIème avant JC
tc0064,tc0064,Marivaux,Annibal,Annibal,1720,drama,Tragédie,tragédie,cinq actes,vers,1720s,Carthagène,Algérie,IIème avant JC
tc0068,tc0068,Campistron,Virginie,Virginie,1693,drama,Tragédie,tragédie,cinq actes,vers,1690s,Rome,Italie,Vème avant JC
