role_id,civil,type,statut,age,stat_amour
tc0597-MONSIEUR-AGNANT,,H,bourgeois,A,néant
tc0597-MADAME-AGNANT,,H,bourgeois,A,néant
tc0597-LISETTE,,H,valet,A,néant
tc0597-PICARD,,H,valet,A,néant
tc0704-LEANDRE,,H,bourgeois,A,amoureux
tc0704-VALERE,,H,bourgeois,A,amoueux
tc0704-CLARICE,,H,bourgeois,A,néant
tc0704-CEPHISE,,H,bourgeois,V,néant
tc0704-DAPHNE,,H,bourgeois,A,néant
tc0704-HORTENSE,,H,bourgeois,A,néant
tc0704-ISMENE,,H,bourgeois,A,néant
tc0704-MELITE,,H,bourgeois,A,néant
tc0704-DORIS,,H,bourgeois,A,néant
tc0704-NERINE,,H,suivante,A,néant
tc0704-LA-FLEUR,,H,laquais,A,néant
tc0406-UNPOETE,,H,poète,A,néant
tc0406-LESEMAINIER,,H,semainier,A,néant
tc0406-ROBERT,,H,gagiste,A,néant
tc0406-MADAMEARMAND,,H,concierge,A,néant
tc0406-TOUSLESACTEURS,,H,comédien,A,néant
tc0343-ARTAXERCE,,H,roi,A,néant
tc0343-DARIUS,,H,prince,J,néant
tc0343-ASPASIE,,H,roi,A,néant
tc0343-TIRIBAZE,,H,satrape,A,néant
tc0343-NITOCRIS,,H,aristocrate,J,néant
tc0343-ORONTE,,H,confident,A,néant
tc0343-BARSINE,,H,confident,A,néant
tc0343-CLEONE,,H,confident,A,néant
tc0343-MINDATE,,H,capitaine,A,néant
tc0343-SUITE,,H,suite,A,néant
tc0016-LAVERTU,,D,allégorie,A,néant
tc0016-PHRONIME,,H,,A,néant
tc0016-MEGATHYME,,H,,A,néant
tc0016-SUIVANTS-VERTU,,H,,A,néant
tc0016-SUIVANTESVERTU,,H,,A,néant
tc0016-LINNOCENCE,,H,,A,néant
tc0016-LESPLAISIRSINNOCENTS,,H,,A,néant
tc0016-LAFORTUNE,,H,,A,néant
tc0016-LAMAGNIFICENCE,,H,,A,néant
tc0016-LABONDANCE,,H,,A,néant
tc0016-SUIVANTS-FORTUNE,,H,,A,néant
tc0016-SUIVANTES-FORTUNE,,H,,A,néant
tc0016-PERSEE,,H,héros,A,néant
tc0016-CEPHEE,,H,roi,A,néant
tc0016-CASSIOPE,,H,roi,A,néant
tc0016-MEROPE,,H,prince,A,néant
tc0016-ANDROMEDE,,H,prince,J,néant
tc0016-PHINEE,,H,prince,A,néant
tc0016-SUIVANTS-CEPHEE,,H,suivant,A,néant
tc0016-SUIVANTS-CASSIOPE,,H,suivant,A,néant
tc0016-ETHIOPIENS-ETHIOPIENNES,,H,peuple,A,néant
tc0016-QUADRILLE-HOMMES,,H,danseur,J,néant
tc0016-QUARILLEDEJEUNESFEMMES,,H,danseur,A,néant
tc0016-AMPHYMEDON,,H,,A,néant
tc0016-CORITE,,H,,A,néant
tc0016-PROTENOR,,H,,A,néant
tc0016-MERCURE,,D,dieu,A,néant
tc0016-TROUPESDECYCLOPES,,H,cyclope,A,néant
tc0016-TROUPESDENYMPHES,,H,nymphe,A,néant
tc0016-TROUPESDEDIVINITES,,H,dieu,A,néant
tc0016-MEDUSE,,M,gorgone,A,néant
tc0016-EURYALE,,M,gorgone,A,néant
tc0016-STENONE,,M,gorgone,A,néant
tc0016-MONSTRES,,M,monstre,A,néant
tc0016-IDAS,,H,,A,néant
tc0016-MATELOTS,,H,marin,A,néant
tc0016-MATELOTTES,,H,marin,A,néant
tc0016-GRAND-PRETRE,,H,prêtre,A,néant
tc0016-SUITEGRANDPRETRE,,H,suite,A,néant
tc0016-COURTISANS-CEPHEE,,H,courtisan,A,néant
tc0016-COMBATTANTSDEPHINEE,,H,soldat,A,néant
tc0016-COMBATTANTSDECEPHEEETPERSEE,,H,soldat,A,néant
tc0016-VENUS,,D,dieu,A,néant
tc0016-LAMOUR,,D,dieu,A,néant
tc0016-TROUPEDAMOURS,,H,amour,A,néant
tc0016-LHYMENEE,,H,allégorie,A,néant
tc0016-GRACES,,H,grâce,A,néant
tc0016-JEUX,,H,allégorie,A,néant
tc0007-MONSIEURDEFLORIMON,,H,bourgeois,A,néant
tc0007-MADAMEDEFLORIMON,,H,bourgeois,A,néant
tc0007-PHILEMON,,H,bourgeois,J,néant
tc0007-LECHEVALIER,,H,chevalier,A,néant
tc0007-POLIDOR,,H,bourgeois,A,néant
tc0007-CONSTANCE,,H,bourgeois,J,néant
tc0007-MARTON,,H,suivante,A,néant
tc0007-LAPIERRE,,H,portier,V,néant
tc0007-CLERMON,,H,valet,A,néant
